2024-04-15 13:42:46,104 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-04-15 13:42:46,126 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-04-15 13:42:46,127 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-04-15 13:42:46,127 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-04-15 13:42:46,128 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-04-15 13:42:46,129 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-04-15 13:42:46,129 INFO  SwAddin.cs: 201 - Setting up command manager
2024-04-15 13:42:46,130 INFO  SwAddin.cs: 204 - Adding command manager
2024-04-15 13:42:46,131 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-04-15 13:42:46,131 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-04-15 13:42:46,131 INFO  SwAddin.cs: 210 - Adding event handlers
2024-04-15 13:42:46,133 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-04-15 14:06:38,258 INFO  SwAddin.cs: 294 - Assembly export called for file tengri_robot.SLDASM
2024-04-15 14:06:38,260 INFO  SwAddin.cs: 305 - A rebuild is required
2024-04-15 14:06:38,261 INFO  SwAddin.cs: 313 - Saving assembly
2024-04-15 14:06:38,364 INFO  SwAddin.cs: 316 - Opening property manager
2024-04-15 14:06:38,374 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from tengri_robot.SLDASM
2024-04-15 14:06:38,377 INFO  ExportHelperExtension.cs: 1136 - Found 100 in tengri_robot.SLDASM
2024-04-15 14:06:38,378 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [CoordSys] in tengri_robot.SLDASM
2024-04-15 14:06:38,378 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-04-15 14:06:38,379 INFO  ExportHelperExtension.cs: 1160 - 17 components to check
2024-04-15 14:06:38,379 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Деталь1-1
2024-04-15 14:06:38,380 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Деталь1-1
2024-04-15 14:06:38,380 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Деталь1-1
2024-04-15 14:06:38,380 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from фланец-1
2024-04-15 14:06:38,381 INFO  ExportHelperExtension.cs: 1136 - Found 37 in фланец-1
2024-04-15 14:06:38,381 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in фланец-1
2024-04-15 14:06:38,381 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from переходная боковушка-2
